Name,URL,Address,Rating
National Law College,https://www.google.com/maps/place/National+Law+College/data=!4m7!3m6!1s0x390d18f504274f93:0x90abb929a1faf808!8m2!3d28.4500368!4d77.058318!16s%2Fg%2F1tk89hyf!19sChIJk08nBPUYDTkRCPj6oSm5q5A?authuser=0&hl=en&rclk=1,"
64, Khandsa Rd, near Nangia ENT Hospital, Model Town, Sector 11, Gurugram, Haryana 122001",4.1(864)
Chaudhary Partap Singh Memorial College of Education,https://www.google.com/maps/place/Chaudhary+Partap+Singh+Memorial+College+of+Education/data=!4m7!3m6!1s0x390d18066888f77d:0xeaf5b2b41c7f0714!8m2!3d28.425338!4d77.019796!16s%2Fg%2F11c179hr83!19sChIJffeIaAYYDTkRFAd_HLSy9eo?authuser=0&hl=en&rclk=1,"
Sec-34, Gurgaon, Haryana 122001, near hero honda chowk, Gurugram, Haryana 122001",4.1(864)
RR college Gurgaon,https://www.google.com/maps/place/RR+college+Gurgaon/data=!4m7!3m6!1s0x390d1b6cad6d0447:0x6e4c6bd6eb0f2b7b!8m2!3d28.5132113!4d77.0226968!16s%2Fg%2F11swf9kwwn!19sChIJRwRtrWwbDTkReysP69ZrTG4?authuser=0&hl=en&rclk=1,"
G27F+73P, New Palam Vihar, Block M, New Palam Vihar Phase 1, Sector 110, Gurugram, Haryana 122017",4.1(864)
RASTRIYA VIDYA EDUCATION COLLEGE,https://www.google.com/maps/place/RASTRIYA+VIDYA+EDUCATION+COLLEGE/data=!4m7!3m6!1s0x390d175aaff25fa1:0xc1384bcca6bb9c99!8m2!3d28.4556504!4d77.0046579!16s%2Fg%2F11g23dqzn1!19sChIJoV_yr1oXDTkRmZy7psxLOME?authuser=0&hl=en&rclk=1,"
G27F+73P, New Palam Vihar, Block M, New Palam Vihar Phase 1, Sector 110, Gurugram, Haryana 122017",4.1(864)
"Government Model Industrial Training Institute, Gurugram","https://www.google.com/maps/place/Government+Model+Industrial+Training+Institute,+Gurugram/data=!4m7!3m6!1s0x390d1837042762b5:0x234daa954134e6a8!8m2!3d28.4687214!4d77.0463017!16s%2Fg%2F1wnd_fzz!19sChIJtWInBDcYDTkRqOY0QZWqTSM?authuser=0&hl=en&rclk=1","
khawaspur, home, Sector 14, Gurugram, Haryana 122503",4.1(864)
Cambridge collegeof education,https://www.google.com/maps/place/Cambridge+collegeof+education/data=!4m7!3m6!1s0x390d172715ddb661:0xc18e4bcd12ad3fd4!8m2!3d28.445332!4d76.9998643!16s%2Fg%2F11h6177j9t!19sChIJYbbdFScXDTkR1D-tEs1LjsE?authuser=0&hl=en&rclk=1,"
khawaspur, home, Sector 14, Gurugram, Haryana 122503",4.1(864)
Haryana Institute of Public Administration,https://www.google.com/maps/place/Haryana+Institute+of+Public+Administration/data=!4m7!3m6!1s0x390d190e5140600f:0xa08d7cdb8a97a0b4!8m2!3d28.4859672!4d77.0654436!16s%2Fg%2F1tfzvwmm!19sChIJD2BAUQ4ZDTkRtKCXitt8jaA?authuser=0&hl=en&rclk=1,"
76 HIPA Complex, 76-b, Udyog Vihar, Sector 18, Gurugram, Haryana 122001",4.1(864)
Central University of Haryana,https://www.google.com/maps/place/Central+University+of+Haryana/data=!4m7!3m6!1s0x39129577ce587a0b:0xbdc1de187d4dccf9!8m2!3d28.3512626!4d76.133663!16s%2Fm%2F09v27s6!19sChIJC3pYzneVEjkR-cxNfRjewb0?authuser=0&hl=en&rclk=1,"
SH 17, Jaat, Haryana 123031",4.1(864)
District Institute Of Education & Training,https://www.google.com/maps/place/District+Institute+Of+Education+%26+Training/data=!4m7!3m6!1s0x390d196ba67cf2c7:0xf76bc5f72d110827!8m2!3d28.4525652!4d77.0290025!16s%2Fg%2F11gr5zk0dw!19sChIJx_J8pmsZDTkRJwgRLffFa_c?authuser=0&hl=en&rclk=1,"
F23H+2JC, Shivaji Nagar, Sector 11, Gurugram, Haryana 122001",4.1(864)
B.Ed Admission in Gurgaon,https://www.google.com/maps/place/B.Ed+Admission+in+Gurgaon/data=!4m7!3m6!1s0x390d19d7a8c27b65:0x914abbe8b434a5dd!8m2!3d28.4752606!4d77.0129207!16s%2Fg%2F119vnpng2!19sChIJZXvCqNcZDTkR3aU0tOi7SpE?authuser=0&hl=en&rclk=1,"
F23H+2JC, Shivaji Nagar, Sector 11, Gurugram, Haryana 122001",4.1(864)
VINAYAKA COLLEGE,https://www.google.com/maps/place/VINAYAKA+COLLEGE/data=!4m7!3m6!1s0x390d1907d1141b17:0x4416f930c0ddcd3a!8m2!3d28.4799006!4d77.0309181!16s%2Fg%2F11gxgk24nk!19sChIJFxsU0QcZDTkROs3dwDD5FkQ?authuser=0&hl=en&rclk=1,"
Shop No 27, Block B, Sheetla Colony, Ashok Vihar Phase II, Gurugram, Haryana 122001",4.1(864)
Manav Rachna Dental College,https://www.google.com/maps/place/Manav+Rachna+Dental+College/data=!4m7!3m6!1s0x390ce0ab0465d69f:0xb1c7e34c613c38e2!8m2!3d28.4508951!4d77.2873019!16s%2Fg%2F11bt_gklp_!19sChIJn9ZlBKvgDDkR4jg8YUzjx7E?authuser=0&hl=en&rclk=1,"
Shop No 27, Block B, Sheetla Colony, Ashok Vihar Phase II, Gurugram, Haryana 122001",4.1(864)
PCS VOCATIONAL INSTITUTE (A Unit Of Paramount Career Solution Foundation) PCS women polytechnic,https://www.google.com/maps/place/PCS+VOCATIONAL+INSTITUTE+%28A+Unit+Of+Paramount+Career+Solution+Foundation%29+PCS+women+polytechnic/data=!4m7!3m6!1s0x390d193eef64356f:0x6b55cd4999da15a4!8m2!3d28.4706353!4d77.0442208!16s%2Fg%2F11s8b6xw5t!19sChIJbzVk7z4ZDTkRpBXamUnNVWs?authuser=0&hl=en&rclk=1,"
M14, Block B, Old DLF Colony, Sector 14, Gurugram, Haryana 122001",4.1(864)
ISBS Gurgaon: MBA Colleges India,https://www.google.com/maps/place/ISBS+Gurgaon:+MBA+Colleges+India/data=!4m7!3m6!1s0x390d17f618a3459f:0xad3f3efc913c87b3!8m2!3d28.4396338!4d77.0126952!16s%2Fg%2F1tdc8594!19sChIJn0WjGPYXDTkRs4c8kfw-P60?authuser=0&hl=en&rclk=1,"
Pace City I, Sector 37,Near Hero Honda Chowk, NH-8, opposite Roseland Public School, Gurugram, Haryana 122004",4.1(864)
"University Institute of Engineering & Technology (UIET MDU) M. D. University, Rohtak","https://www.google.com/maps/place/University+Institute+of+Engineering+%26+Technology+%28UIET+MDU%29+M.+D.+University,+Rohtak/data=!4m7!3m6!1s0x390d84dea048c187:0xb10ba533874497aa!8m2!3d28.8793842!4d76.6251554!16s%2Fm%2F0j9nw3s!19sChIJh8FIoN6EDTkRqpdEhzOlC7E?authuser=0&hl=en&rclk=1","
University Institute of Engineering & Technology (UIET), Maharshi Dayanand University, Rohtak Delhi Road, near Delhi bypass, Rohtak, Haryana 124001",4.1(864)
City Educare-B.ED COURSE INSTITUTE,https://www.google.com/maps/place/City+Educare-B.ED+COURSE+INSTITUTE/data=!4m7!3m6!1s0x390d19f8c2514e1f:0x3183273b99709003!8m2!3d28.4756295!4d77.082466!16s%2Fg%2F11f5v_30yg!19sChIJH05RwvgZDTkRA5BwmTsngzE?authuser=0&hl=en&rclk=1,"
University Institute of Engineering & Technology (UIET), Maharshi Dayanand University, Rohtak Delhi Road, near Delhi bypass, Rohtak, Haryana 124001",4.1(864)
University Institute Of Law And Management Studies (Uilms),https://www.google.com/maps/place/University+Institute+Of+Law+And+Management+Studies+%28Uilms%29/data=!4m7!3m6!1s0x390d18f50abba48d:0x367bb8aa90e0b33e!8m2!3d28.4502502!4d77.0579118!16s%2Fg%2F11fnw18s01!19sChIJjaS7CvUYDTkRPrPgkKq4ezY?authuser=0&hl=en&rclk=1,"
475, Dalal St, Urban Estate, Sector 40, Gurugram, Haryana 122001",4.1(864)
Ganga Institute of Technology & Management,https://www.google.com/maps/place/Ganga+Institute+of+Technology+%26+Management/data=!4m7!3m6!1s0x390d722ccb561709:0x144bc88698585f82!8m2!3d28.6229119!4d76.7413176!16s%2Fg%2F11bzsftb6y!19sChIJCRdWyyxyDTkRgl9YmIbISxQ?authuser=0&hl=en&rclk=1,"
475, Dalal St, Urban Estate, Sector 40, Gurugram, Haryana 122001",4.1(864)
